(665,213);(711,230);R00589
(1000,921);(1046,938);R08050
(76,455);(122,472);R07409
(892,922);(938,939);R06979
(769,922);(815,939);R06978
(640,921);(686,938);R06977
(76,474);(122,491);R01022
(126,455);(172,472);R01025
(220,192);(266,209);R01511
(139,517);(185,534);R02566
(269,177);(315,194);R01514
(224,528);(270,545);R02821
(538,372);(584,389);R00588
(235,292);(281,309);R00585
(412,453);(458,470);R01883
(380,184);(426,201);R01513
(116,173);(162,190);R01388
(312,527);(358,544);R01565
(437,317);(483,334);R01290
(437,381);(483,398);R01001
(496,451);(542,468);R00565
(365,922);(411,939);R00480
(509,185);(555,202);R04173
(466,517);(512,534);R00610
(466,538);(512,555);R00611
(572,209);(618,226);R00582
(568,396);(614,413);R00945
(517,741);(563,758);R00996
(550,694);(596,711);R00751
(616,453);(662,470);R00366
(575,776);(621,793);R01466
(640,486);(686,503);R00372
(702,713);(748,730);R01465
(638,670);(684,687);R00371
(503,922);(549,939);R02291
(665,234);(711,251);R00589
(666,275);(712,292);R00220
(575,834);(621,851);R01771
(754,528);(800,545);R03425
(702,576);(748,593);R00830
(575,890);(621,907);R01775
(764,256);(810,273);R00221
(794,695);(840,712);R02529
(116,194);(162,211);R01392
(844,695);(890,712);R02529
(863,670);(909,687);R03759
(861,475);(907,492);R04125
(892,224);(938,241);R03691
(996,496);(1042,513);R03815
(616,432);(662,449);R00364
(466,561);(512,578);R00367
(666,296);(712,313);R00220
(638,595);(684,612);R06171
(126,474);(172,491);R08558
(362,478);(408,495);R01566
(334,318);(380,335);R01800
(649,328);(695,345);R02722
(235,271);(281,288);R00588
(489,349);(535,366);R00891
(690,486);(736,503);R00372
(712,876);(758,893);R07650
(172,160);(218,177);R08572
(236,116);(282,133);R01518
(892,968);(938,985);R09800
(769,968);(815,985);R09801
(640,968);(686,985);R06977
(433,968);(479,985);R09805
(236,137);(282,154);R01518
(930,484);(976,501);(gcvH)
(388,576);(434,593);R10060
(269,495);(315,512);R10061
(224,575);(270,592);R07244
(702,634);(748,651);R10851
(600,694);(646,711);R00751
(638,616);(684,633);R06171
