(562,353);(608,370);R07618
(384,353);(430,370);R07618
(421,316);(467,333);R07600
(107,353);(153,370);R07618
(144,316);(190,333);R07602
(157,742);(203,759);R00238
(27,703);(73,720);R01978
(78,709);(124,726);R00410
(144,660);(190,677);R01360
(144,608);(190,625);R02085
(144,545);(190,562);R04138
(99,519);(145,536);R04137
(144,468);(190,485);R04095
(599,252);(645,269);R07603
(69,185);(115,202);R01088
(169,185);(215,202);R01090
(421,185);(467,202);R01214
(599,694);(645,711);R00927
(446,694);(492,711);R05066
(599,555);(645,572);R04204
(446,468);(492,485);R02661
(599,390);(645,407);R03174
(421,252);(467,269);R07599
(598,185);(644,202);R02199
(548,185);(594,202);R02197
(327,907);(373,924);R00833
(508,907);(554,924);R02765
(599,821);(645,838);R01859
(446,806);(492,823);R03871
(396,806);(442,823);R03869
(508,748);(554,765);R00922
(366,758);(412,775);R04188
(574,627);(620,644);R04203
(396,694);(442,711);R05066
(421,627);(467,644);R05064
(624,627);(670,644);R04203
(421,555);(467,572);R04224
(346,468);(392,485);R02661
(624,468);(670,485);R03172
(421,390);(467,407);R02662
(144,252);(190,269);R07601
(144,390);(190,407);R04097
(119,185);(165,202);R01090
(366,737);(412,754);R04187
(194,468);(240,485);R04095
(674,468);(720,485);R03172
(31,274);(77,291);R08566
(306,274);(352,291);R07160
(710,274);(756,291);R08567
(396,468);(442,485);R02661
(574,468);(620,485);R03172
(421,487);(467,504);R02661
(371,185);(417,202);R01434
(508,840);(554,857);R02764
(421,872);(467,889);R03383
(128,709);(174,726);R01357
(366,784);(412,801);R02050
