(261,939);(307,956);R00710
(123,907);(169,924);R00229
(236,960);(282,977);R00711
(355,906);(401,923);R00755
(464,939);(510,956);R00746
(416,932);(462,949);R00754
(408,870);(454,887);R00014
(408,849);(454,866);R00014
(296,861);(342,878);R03270
(187,861);(233,878);R02569
(535,860);(581,877);R00703
(460,762);(506,779);R00200
(460,692);(506,709);R00658
(435,621);(481,638);R01518
(435,475);(481,492);R01061
(363,440);(409,457);R01015
(435,327);(481,344);R04779
(385,327);(431,344);R04780
(529,187);(575,204);R02738
(460,256);(506,273);R02740
(460,169);(506,186);R00959
(362,293);(408,310);R03321
(210,282);(256,299);R01600
(210,303);(256,320);R01600
(334,255);(380,272);R02739
(284,255);(330,272);R02739
(158,255);(204,272);R01602
(210,230);(256,247);R01786
(210,209);(256,226);R01786
(307,184);(353,201);R01788
(307,135);(353,152);R00947
(239,904);(285,921);R07618
(460,548);(506,565);R01512
(258,209);(304,226);R02189
(258,282);(304,299);R02187
(158,351);(204,368);R05132
(158,377);(204,394);R04394
(268,350);(314,367);R05133
(268,376);(314,393);R05134
(216,717);(262,734);R00726
(416,951);(462,968);R09127
(216,738);(262,755);R00341
(464,960);(510,977);R00754
(485,475);(531,492);R01063
(419,512);(465,529);R07159
(369,512);(415,529);R01058
(261,780);(307,797);R01196
(508,584);(554,601);R01516
(508,512);(554,529);R01662
(73,907);(119,924);R00235
(485,327);(531,344);R09084
(258,230);(304,247);R09085
(258,303);(304,320);R09086
(416,970);(462,987);R05198
(485,621);(531,638);R01518
(284,960);(330,977);R00711
(548,621);(594,638);R09532
(393,531);(439,548);R10860
(261,801);(307,818);R01196
(535,327);(581,344);R02073
(464,919);(510,936);R09479
