(241,477);(287,494);R02887
(169,455);(215,472);R00306
(15,347);(61,364);R00760
(1065,58);(1111,75);R00837
(116,162);(162,179);R03921
(65,347);(111,364);R00760
(451,183);(497,200);R00807
(241,201);(287,218);R00801
(241,220);(287,237);R00801
(241,239);(287,256);R00801
(241,415);(288,433);R03527
(241,370);(287,387);R00308
(350,488);(396,505);R11307
(451,147);(497,164);R00805
(451,488);(497,505);R02890
(241,162);(287,179);R00811
(488,220);(534,237);R00806
(489,415);(535,432);R03526
(488,381);(534,398);R03118
(489,448);(535,465);R02889
(552,147);(598,164);R00766
(645,367);(691,384);R00287
(552,488);(598,505);R00954
(552,601);(598,618);R00956
(614,697);(660,714);R00960
(670,670);(716,687);R00949
(670,691);(716,708);R01660
(609,339);(655,356);R00289
(778,147);(824,164);R02737
(812,321);(858,338);R00292
(671,488);(717,505);R00948
(462,640);(508,657);R08639
(463,772);(509,789);R00303
(463,726);(509,743);R00299
(463,747);(509,764);R00299
(183,737);(229,754);R00771
(893,488);(939,505);R02110
(903,147);(949,164);R02778
(917,394);(963,411);R03122
(1065,114);(1111,131);R00010
(1065,147);(1111,164);R02727
(1065,79);(1111,96);R00837
(1083,183);(1129,200);R11310
(1224,195);(1270,212);R00838
(1172,305);(1218,322);R01555
(1015,486);(1061,503);R02112
(1015,348);(1061,365);R11262
(1015,568);(1061,585);R01790
(1144,425);(1190,442);R00028
(778,568);(824,585);R02111
(1172,525);(1218,542);R05196
(451,253);(497,270);R01823
(451,301);(497,318);R02120
(778,477);(824,494);R02421
(300,560);(346,577);R02886
(241,391);(287,408);R00308
(331,301);(377,318);R05140
(307,346);(353,363);R11311
(488,356);(534,373);R00803
(673,532);(719,549);R00951
(1115,525);(1161,542);R01791
(1065,525);(1111,542);R01791
(1091,613);(1137,630);R01718
(903,104);(949,121);R02780
(1265,327);(1311,344);R04111
(1065,305);(1111,322);R01557
(1224,425);(1270,442);R09945
(837,625);(883,642);R09994
(778,199);(824,216);R08946
(1224,305);(1270,322);R10486
(307,325);(353,342);R10784
(1015,505);(1061,522);R02112
(960,425);(1006,442);R11261
(960,216);(1006,233);R11256
(960,305);(1006,322);R01824
(1015,367);(1061,384);R11262
(1015,386);(1061,403);R11262
(917,454);(963,471);R11260
(778,177);(824,194);R11306
(331,253);(377,270);R04194
(1038,638);(1084,655);R11309
(241,498);(287,515);R02887
(241,521);(287,538);R11308
(131,488);(177,505);R00952
(81,667);(127,684);R00839
(134,691);(180,708);R11172
(241,542);(287,559);R11308
(1015,467);(1061,484);R02112
(778,498);(824,515);R02421
(862,321);(908,338);R00292
(778,656);(824,673);R11530
(40,45);(316,70);metabolism
